source_token,start_year,start_month,n_jobs,n_anomalies,anomaly_rate,date
C,1969,12,3,3,1.0,1969-12-01
C,2015,4,759,66,0.08695652173913043,2015-04-01
C,2015,5,85713,1841,0.02147865551316603,2015-05-01
C,2015,6,64520,1542,0.02389956602603844,2015-06-01
C,2015,7,661,71,0.10741301059001512,2015-07-01
C,2015,8,54229,984,0.018145272824503494,2015-08-01
C,2015,9,54169,1020,0.018829958094112868,2015-09-01
C,2015,10,48155,699,0.01451562662236528,2015-10-01
C,2015,11,49760,789,0.01585610932475884,2015-11-01
C,2015,12,48725,758,0.015556695741405849,2015-12-01
C,2016,1,25813,380,0.01472126447913842,2016-01-01
C,2016,2,114236,339,0.0029675408802829232,2016-02-01
C,2016,3,65291,475,0.007275122145471811,2016-03-01
C,2016,4,104394,502,0.004808705481157921,2016-04-01
C,2016,5,973,41,0.0421377183967112,2016-05-01
C,2016,6,41680,838,0.020105566218809982,2016-06-01
C,2016,7,86229,880,0.010205383339711698,2016-07-01
C,2016,8,61507,731,0.011884826117352497,2016-08-01
C,2016,9,112629,540,0.0047945023040247186,2016-09-01
C,2016,10,44948,438,0.009744593752780991,2016-10-01
C,2016,11,104257,839,0.00804742127626922,2016-11-01
C,2016,12,54395,519,0.009541318135858075,2016-12-01
C,2017,1,67399,455,0.006750842000623154,2017-01-01
C,2017,2,117052,234,0.0019991115059973343,2017-02-01
C,2017,3,65232,532,0.008155506499877362,2017-03-01
C,2017,4,73749,641,0.008691643276519005,2017-04-01
C,2017,5,132068,627,0.004747554290214132,2017-05-01
C,2017,6,141842,1420,0.010011139154834252,2017-06-01
NONE,2022,6,25,4,0.16,2022-06-01
NONE,2022,7,15504,301,0.01941434468524252,2022-07-01
NONE,2022,8,17952,548,0.03052584670231729,2022-08-01
NONE,2022,9,20970,467,0.022269909394372914,2022-09-01
NONE,2022,10,55421,718,0.012955377925335161,2022-10-01
NONE,2022,11,7363,173,0.023495857666711938,2022-11-01
NONE,2022,12,74458,574,0.007709044024819361,2022-12-01
NONE,2023,1,14081,192,0.013635395213408138,2023-01-01
NONE,2023,2,37163,280,0.007534375588623093,2023-02-01
NONE,2023,3,13363,209,0.015640200553767865,2023-03-01
NONE,2023,4,96640,801,0.008288493377483443,2023-04-01
NONE,2023,5,113391,397,0.003501159704032948,2023-05-01
NONE,2023,6,13,0,0.0,2023-06-01
S,2013,2,74419,440,0.005912468590010616,2013-02-01
S,2013,3,90701,807,0.008897366070936373,2013-03-01
S,2013,4,121704,1773,0.014568132518240979,2013-04-01
S,2013,5,133028,827,0.0062167363261869685,2013-05-01
S,2013,6,123000,699,0.0056829268292682925,2013-06-01
S,2013,7,161400,960,0.005947955390334572,2013-07-01
S,2013,8,185050,1388,0.0075006754931099704,2013-08-01
S,2013,9,108498,1317,0.012138472598573246,2013-09-01
S,2013,10,101288,1431,0.014128030961219493,2013-10-01
S,2013,11,102320,1020,0.0099687255668491,2013-11-01
S,2013,12,79093,661,0.008357250325566105,2013-12-01
S,2014,1,194640,1069,0.005492190711056309,2014-01-01
S,2014,2,121903,1089,0.008933332239567524,2014-02-01
