jid,source_token,start_year,start_month,exitcode,anomaly_score,is_anomaly
JOB4294517_S,S,2014,10,TIMEOUT,0.22743147355666538,True
JOB3525020_S,S,2014,6,COMPLETED,0.22369105181587556,True
JOB3525007_S,S,2014,6,COMPLETED,0.22337233887399033,True
JOB1370769_S,S,2013,8,NODE_FAIL,0.22327886524445784,True
JOB3525025_S,S,2014,6,CANCELLED,0.22232359078779118,True
JOB1348580,NONE,2023,5,TIMEOUT,0.22216468949967305,True
JOB4294319_S,S,2014,10,COMPLETED,0.22209874333937152,True
JOB746184,NONE,2023,2,COMPLETED,0.22153776500106637,True
JOB3525038_S,S,2014,6,CANCELLED,0.22141659997711471,True
JOB1372318_S,S,2013,8,NODE_FAIL,0.2207339762281323,True
JOB4286693_S,S,2014,10,CANCELLED,0.22041642930127003,True
JOB3525030_S,S,2014,6,CANCELLED,0.22041642930127003,True
JOB577891_S,S,2013,4,FAILED,0.22009900758746925,True
JOB4286672_S,S,2014,10,CANCELLED,0.22009900758746925,True
JOB567922_S,S,2013,4,TIMEOUT,0.21946453960157852,True
JOB1375263_S,S,2013,8,CANCELLED,0.21936084532128386,True
JOB341553_S,S,2013,3,COMPLETED,0.21914749323080063,True
JOB4294294_S,S,2014,10,COMPLETED,0.21828998965904922,True
JOB4294573_S,S,2014,10,FAILED,0.2181896116389147,True
JOB3150205_S,S,2014,4,COMPLETED,0.2177696905252967,True
JOB647101_S,S,2013,4,TIMEOUT,0.21724108948917287,True
JOB3525012_S,S,2014,6,FAILED,0.2169144163555119,True
JOB4294577_S,S,2014,10,CANCELLED,0.21683802369821048,True
JOB567866_S,S,2013,4,CANCELLED,0.2162996956882759,True
JOB1370427_S,S,2013,8,COMPLETED,0.2161964095638368,True
JOB4291716_S,S,2014,10,CANCELLED,0.2159455054687065,True
JOB4291789_S,S,2014,10,CANCELLED,0.2159455054687065,True
JOB6953169_S,S,2016,5,COMPLETED,0.2159306144313533,True
JOB5156211_S,S,2015,4,CANCELLED,0.2158815227396096,True
JOB3150198_S,S,2014,4,CANCELLED,0.21566822335211067,True
JOB488805,NONE,2022,12,COMPLETED,0.21539731248156724,True
JOB744618,NONE,2023,2,COMPLETED,0.2152933532978547,True
JOB4294166_S,S,2014,10,CANCELLED,0.2149989025216018,True
JOB478828_S,S,2013,4,COMPLETED,0.21497184775205858,True
JOB567910_S,S,2013,4,COMPLETED,0.21485881153313935,True
