feature,coefficient,abs_coefficient,cluster,intercept
log_timelimit,0.6718904161566311,0.6718904161566311,S,2.342277311682748
month_3,-0.26500893120691965,0.26500893120691965,S,2.342277311682748
month_1,-0.2454618847351851,0.2454618847351851,S,2.342277311682748
month_12,0.21687378295046206,0.21687378295046206,S,2.342277311682748
month_4,-0.1762007255866594,0.1762007255866594,S,2.342277311682748
log_wait_sec,0.17603769905432318,0.17603769905432318,S,2.342277311682748
month_10,0.14599095313533397,0.14599095313533397,S,2.342277311682748
month_7,-0.13789832753730505,0.13789832753730505,S,2.342277311682748
month_8,0.11559037714645035,0.11559037714645035,S,2.342277311682748
month_9,0.10375095728819467,0.10375095728819467,S,2.342277311682748
month_6,0.09392171395437748,0.09392171395437748,S,2.342277311682748
month_11,0.08793594857604102,0.08793594857604102,S,2.342277311682748
nhosts,-0.07645578016231243,0.07645578016231243,S,2.342277311682748
month_2,0.04508173005412102,0.04508173005412102,S,2.342277311682748
month_5,0.015424426301499044,0.015424426301499044,S,2.342277311682748
ncores,0.004792869428533715,0.004792869428533715,S,2.342277311682748
log_timelimit,0.5790069422844675,0.5790069422844675,NONE,-0.7222788603653196
month_6,0.4556858009662199,0.4556858009662199,NONE,-0.7222788603653196
month_8,-0.29761297913998375,0.29761297913998375,NONE,-0.7222788603653196
month_11,-0.2873089788032263,0.2873089788032263,NONE,-0.7222788603653196
month_2,0.27598080423026583,0.27598080423026583,NONE,-0.7222788603653196
month_7,-0.23944196520804742,0.23944196520804742,NONE,-0.7222788603653196
log_wait_sec,0.2096661320038304,0.2096661320038304,NONE,-0.7222788603653196
month_3,0.17971775819588912,0.17971775819588912,NONE,-0.7222788603653196
month_4,-0.17574653786486935,0.17574653786486935,NONE,-0.7222788603653196
month_5,0.17490414061321186,0.17490414061321186,NONE,-0.7222788603653196
month_9,-0.150517309266074,0.150517309266074,NONE,-0.7222788603653196
month_1,0.14987516868138115,0.14987516868138115,NONE,-0.7222788603653196
nhosts,0.07700458089445474,0.07700458089445474,NONE,-0.7222788603653196
month_12,-0.076737121984115,0.076737121984115,NONE,-0.7222788603653196
month_10,-0.00879878368172344,0.00879878368172344,NONE,-0.7222788603653196
ncores,-0.0004941455095947969,0.0004941455095947969,NONE,-0.7222788603653196
