feature,coefficient,abs_coefficient,variant,intercept,cluster
log_timelimit,0.6297642907266259,0.6297642907266259,full,-1.2486054749656912,C
month_5,-0.453421528397932,0.453421528397932,full,-1.2486054749656912,C
month_3,0.4159853682805035,0.4159853682805035,full,-1.2486054749656912,C
month_6,0.34655662242817054,0.34655662242817054,full,-1.2486054749656912,C
month_8,-0.23586549915070654,0.23586549915070654,full,-1.2486054749656912,C
month_12,0.2197931968269082,0.2197931968269082,full,-1.2486054749656912,C
month_1,-0.18788010916517872,0.18788010916517872,full,-1.2486054749656912,C
log_wait_sec,0.18730063694682303,0.18730063694682303,full,-1.2486054749656912,C
month_9,-0.13961435058238156,0.13961435058238156,full,-1.2486054749656912,C
nhosts,0.11915996964196235,0.11915996964196235,full,-1.2486054749656912,C
month_11,0.1030691949220133,0.1030691949220133,full,-1.2486054749656912,C
month_4,-0.08200976229227559,0.08200976229227559,full,-1.2486054749656912,C
month_7,-0.06847998444033755,0.06847998444033755,full,-1.2486054749656912,C
month_2,0.043845791287343804,0.043845791287343804,full,-1.2486054749656912,C
month_10,0.03802106239138461,0.03802106239138461,full,-1.2486054749656912,C
ncores,0.0,0.0,full,-1.2486054749656912,C
month_6,0.5635325869862886,0.5635325869862886,no_timelimit,3.189785975344865,C
log_wait_sec,0.3284081054058928,0.3284081054058928,no_timelimit,3.189785975344865,C
month_9,-0.32545876292942794,0.32545876292942794,no_timelimit,3.189785975344865,C
month_12,0.295509296935613,0.295509296935613,no_timelimit,3.189785975344865,C
month_5,-0.2941868094526739,0.2941868094526739,no_timelimit,3.189785975344865,C
month_3,0.2587045836021479,0.2587045836021479,no_timelimit,3.189785975344865,C
month_4,-0.2401917097914437,0.2401917097914437,no_timelimit,3.189785975344865,C
month_11,0.23299898855900605,0.23299898855900605,no_timelimit,3.189785975344865,C
month_8,-0.2011313847144855,0.2011313847144855,no_timelimit,3.189785975344865,C
month_2,-0.1547710816625118,0.1547710816625118,no_timelimit,3.189785975344865,C
nhosts,0.1368459205326832,0.1368459205326832,no_timelimit,3.189785975344865,C
month_1,-0.0646540432266712,0.0646540432266712,no_timelimit,3.189785975344865,C
month_7,-0.03616703230562148,0.03616703230562148,no_timelimit,3.189785975344865,C
month_10,-0.034184629119759134,0.034184629119759134,no_timelimit,3.189785975344865,C
ncores,0.0,0.0,no_timelimit,3.189785975344865,C
log_timelimit,0.7503397218266139,0.7503397218266139,timelimit_only,-0.7336946360046319,C
log_timelimit,0.6314563148640752,0.6314563148640752,no_month,-1.2566091811798783,C
log_wait_sec,0.18645727571174772,0.18645727571174772,no_month,-1.2566091811798783,C
nhosts,0.11963694355801707,0.11963694355801707,no_month,-1.2566091811798783,C
ncores,0.0,0.0,no_month,-1.2566091811798783,C
month_6,2.8690409962737293,2.8690409962737293,full,-1.17839438255794,NONE
month_7,-1.3243270002222296,1.3243270002222296,full,-1.17839438255794,NONE
log_timelimit,0.8165534300590008,0.8165534300590008,full,-1.17839438255794,NONE
nhosts,0.6016499998816872,0.6016499998816872,full,-1.17839438255794,NONE
month_8,-0.5994688502459568,0.5994688502459568,full,-1.17839438255794,NONE
month_9,0.5982157103042173,0.5982157103042173,full,-1.17839438255794,NONE
month_3,-0.5033185670962388,0.5033185670962388,full,-1.17839438255794,NONE
month_12,-0.40458758280902885,0.40458758280902885,full,-1.17839438255794,NONE
