variant,train_spec,train_clusters,cluster_conditioning,test_cluster,n_train,n_test,r2,mae_log,mdae_log,smape,r2_ci_low,r2_ci_high,mae_log_ci_low,mae_log_ci_high,mdae_log_ci_low,mdae_log_ci_high,smape_ci_low,smape_ci_high,shift_smd_mean,shift_smd_max,shift_jsd_mean
with_timelimit,single,S,False,S,4837564,166819,0.32869228594544186,1.934701116767425,1.735680917834019,140.05505523431472,0.32456381540923857,0.33328992325439266,1.9284394967572942,1.9396443224771838,1.7269833804384278,1.745073782687754,139.6104593429615,140.5321532679148,0.11128831735662419,0.1433194450030259,0.05258843774725878
with_timelimit,single,S,False,C,4837564,525341,0.0025933142859725367,2.0265441612596673,2.103933175939469,156.51394785613823,-0.0005477600597784127,0.005485071884819878,2.0236334026046996,2.0292830779484547,2.1027682742069596,2.1054787713012493,156.4687774987061,156.57381653404906,1.1853023650047432,2.678387215535122,0.39940034264492646
with_timelimit,single,S,False,NONE,4837564,49651,0.4977282982616128,1.8165375022517447,1.2675594955218923,112.12987267587376,0.4932378213956439,0.501027329593312,1.8042227418381336,1.8315208217509287,1.242335606297944,1.2950200373323009,110.38811708886153,113.9982658319611,0.8981741360400549,1.2931340092379515,0.35466231430271716
with_timelimit,single,C,False,S,1020786,166819,0.29740149714759323,1.9546470803719205,1.6410670488762307,135.07203286308115,0.29348875658574697,0.3015399797247616,1.9476933410769717,1.9609355895067433,1.6287765458864225,1.6491109297349063,134.40078965668374,135.50834018284363,112879364.66066349,338638091.71921575,0.38832912884639076
with_timelimit,single,C,False,C,1020786,525341,0.1125212833131618,1.8211787079527075,1.8430725072762684,145.32467196112162,0.10979797039804776,0.11522440381315822,1.818352850663088,1.8244935196062972,1.8334462120528507,1.8487490050568602,144.86870160348948,145.59206098540997,0.1155290965109177,0.24605522200594532,0.04825941889501935
with_timelimit,single,C,False,NONE,1020786,49651,0.5094804358453964,1.8572264073073974,1.4382013516084289,123.27038612552607,0.5062329369765848,0.5122514212907405,1.8476939648575221,1.8687132893967997,1.419407065723381,1.4578485174174618,122.09817963337844,124.48135953079672,60375491.30593603,181126472.8604007,0.2477280000882315
with_timelimit,single,NONE,False,S,166055,166819,-0.21184169527694707,2.6082509915909857,2.290467451898648,163.2337893380337,-0.2204533780385941,-0.2032402188282209,2.5994126629308996,2.6173315922342937,2.277040416498737,2.3018571839250166,162.78303998817822,163.61229376276808,0.9510177960996135,2.4535972328633644,0.23707403509172023
with_timelimit,single,NONE,False,C,166055,525341,0.1534620586629849,1.6399655469712369,1.4120564999712322,121.63604442936733,0.1497872533075542,0.15722087694278544,1.6356289461287683,1.6435382556998195,1.4100732318618596,1.4137873902550522,121.51099627277272,121.74505323791927,0.5968479296672485,1.5071065090224542,0.23780828963696118
with_timelimit,single,NONE,False,NONE,166055,49651,0.7096197236667388,1.2959759164455236,0.9778780960012536,90.67478853107545,0.7038290487556287,0.7143659055601924,1.286284023500185,1.3075996338187676,0.9778780960012536,0.9778809893565175,90.67478853107545,90.67501839413202,0.3472517807615862,0.5266376303854392,0.11889244255133524
with_timelimit,pooled_all_no_cluster,S+C+NONE,False,S,6024405,166819,0.3292737727443722,1.9368609695163355,1.7540496333412392,140.98514182738634,0.32504755264121254,0.33371389947693425,1.9302945754469398,1.9441833271209727,1.7459299520398692,1.7629223872716107,140.57548715655545,141.4301147586125,0.17434570347634673,0.27883552609106954,0.07873505863415253
with_timelimit,pooled_all_no_cluster,S+C+NONE,False,C,6024405,525341,0.1344374153976342,1.808770598248904,1.8484056516664555,145.57591753482976,0.13210282480824212,0.13691114969773316,1.806057440553685,1.811859558305264,1.8453374886181424,1.8500676986958733,145.43149859527026,145.65401869644208,0.7840366972203564,1.619186253064666,0.2714134753997599
with_timelimit,pooled_all_no_cluster,S+C+NONE,False,NONE,6024405,49651,0.5608464958157215,1.7475461759811237,1.3299150901693784,116.33063480499366,0.5571879043838746,0.5640031254559941,1.7361538079503869,1.758669191652873,1.3065071201189746,1.3456553654328918,114.77123021471954,117.36736717444273,0.6356546853635127,0.8025542042583402,0.27880297444410135
with_timelimit,pooled_all_with_cluster,S+C+NONE,True,S,6024405,166819,0.32884845385229133,1.9366322379421503,1.756268871565572,141.09669964158763,0.324796557827901,0.3327498576213656,1.9311240503136724,1.942010672898463,1.7462571402324747,1.7669812492241368,140.59203786043165,141.63274123094135,0.27306460396437926,0.49531661654654097,0.06369569411582286
with_timelimit,pooled_all_with_cluster,S+C+NONE,True,C,6024405,525341,0.14088518510401915,1.807187906047234,1.833666737623008,144.8791847241615,0.13863977694808616,0.14322907173924457,1.8042523422736119,1.810075819487095,1.8283620158006957,1.838531448808709,144.6265889058212,145.10996923144143,1.1255609688535808,2.2139853986343616,0.28343575979590463
