train_cluster,test_cluster,calib_frac,n_calib,n_test,r2_before,mae_before,calib_slope,calib_intercept,r2_after,mae_after,r2_improvement
S,NONE,0.01,2550,252480,-24.405718336093432,3.8468436121228615,0.088274404,3.796672,0.009524066287794786,0.7446449019232216,24.415242402381228
S,NONE,0.05,12751,242279,-24.405718336093432,3.8468436121228615,0.06598325,3.7878773,0.013419802591315144,0.74670889381972,24.419138138684747
S,NONE,0.1,25503,229527,-24.405718336093432,3.8468436121228615,0.06734642,3.787686,0.012915821254972926,0.7467675039939233,24.418634157348407
C,NONE,0.01,2550,252480,-6.468036513156446,2.15987352425809,0.73980844,2.5856507,0.030111699389787416,0.73695638122474,6.4981482125462335
C,NONE,0.05,12751,242279,-6.468036513156446,2.15987352425809,0.7265142,2.6024017,0.03006473574345292,0.7373890121680885,6.498101248899899
C,NONE,0.1,25503,229527,-6.468036513156446,2.15987352425809,0.71902484,2.616282,0.03003878842449592,0.7375701047526452,6.498075301580942
NONE,S,0.01,48020,4753999,-10.183812466990425,2.0063911706683415,0.2384408,0.94127625,0.0231129876915096,0.46884825844891637,10.206925454681935
NONE,S,0.05,240100,4561919,-10.183812466990425,2.0063911706683415,0.24968502,0.8950883,0.023209696493665555,0.46777504309728596,10.20702216348409
NONE,S,0.1,480201,4321818,-10.183812466990425,2.0063911706683415,0.25133252,0.88747644,0.023218540139232746,0.46737213249160214,10.207031007129657
S,C,0.01,12001,1188102,-0.06328568724217298,0.6421690037341582,0.6023647,0.48253465,0.034941003866276854,0.5995133548215563,0.09822669110844984
S,C,0.05,60005,1140098,-0.06328568724217298,0.6421690037341582,0.5945795,0.4913565,0.03490409081739887,0.5990469023277304,0.09818977805957185
S,C,0.1,120010,1080093,-0.06328568724217298,0.6421690037341582,0.5827547,0.5117519,0.03497706606427575,0.5991623720066921,0.09826275330644874
C,S,0.01,48020,4753999,-0.35916282771570884,0.54161160025942,0.21165414,1.5062966,0.019610479385699597,0.47297075068082794,0.37877330710140844
C,S,0.05,240100,4561919,-0.35916282771570884,0.54161160025942,0.20025054,1.5219802,0.019715828851636807,0.47213706354586815,0.37887865656734565
C,S,0.1,480201,4321818,-0.35916282771570884,0.54161160025942,0.20270565,1.5169134,0.01969680804085161,0.4718621531558064,0.37885963575656045
NONE,C,0.01,12001,1188102,-11.247654346060699,2.462770092829688,0.30321467,0.318653,0.03158661769530591,0.5981823565735394,11.279240963756004
NONE,C,0.05,60005,1140098,-11.247654346060699,2.462770092829688,0.30439705,0.30746806,0.031612584522754617,0.5974870720167387,11.279266930583454
NONE,C,0.1,120010,1080093,-11.247654346060699,2.462770092829688,0.29974845,0.32531297,0.031709223675041254,0.5975819873130177,11.27936356973574
