analysis_origin,source_artifact,exp_number,run_id,experiment_dir,created_utc,strategy,n_target_labels,requested_n_target_labels,effective_n_target_labels,seed,source_cluster,target_cluster,regime,overlap_run_id,overlap_band,source_overlap_n,target_overlap_n,actual_cal_n,actual_eval_n,min_target_eval_rows,min_target_eval_rows_satisfied,below_min_target_eval_rows,calibration_n_capped,target_r2,delta_vs_exp002,target_mae_log,target_smape,target_slope,target_intercept,target_bias_log,row_status,status_reason,limitations
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,3,EXP-003_few_shot_main_full_target_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-003_few_shot_main_full_target_seed1337,,full_target,-1,-1,1964,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,1964,491,50,True,False,False,0.1370020548738587,0.030002054873858694,0.0822615215145542,75.67450998537252,0.9697989562871218,-0.0014785421514078,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,78,EXP-078_few_shot_repair_non1337_full_target_seed2024,experiments/EXP-078_few_shot_repair_non1337_full_target_seed2024,2026-03-16T22:09:25Z,full_target,-1,-1,178,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,178,45,50,False,True,False,-0.0342235835789463,-0.1412235835789463,0.0835877110741026,61.76914980441015,0.931345018446282,,-0.0307131494084614,complete,,"Few-shot strategy=full_target, N=-1. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Target overlap cohort is smaller than the requested minimum target holdout: actual_eval_n=45 min_target_eval_rows=50."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,79,EXP-079_few_shot_repair_non1337_full_target_seed2025,experiments/EXP-079_few_shot_repair_non1337_full_target_seed2025,2026-03-16T22:11:27Z,full_target,-1,-1,178,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,178,45,50,False,True,False,-0.0071022914594462,-0.1141022914594462,0.0920873436690007,57.97704180448804,0.5099867895537417,,0.0103528408355574,complete,,"Few-shot strategy=full_target, N=-1. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Target overlap cohort is smaller than the requested minimum target holdout: actual_eval_n=45 min_target_eval_rows=50."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,6,EXP-006_few_shot_main_output_recal_n10_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-006_few_shot_main_output_recal_n10_seed1337,,output_recal,10,10,10,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,10,2445,50,True,False,False,0.0144743509180115,-0.0925256490819885,0.0747779408172747,58.99629871858907,1.6688691636162505,-0.0220064252237774,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,80,EXP-080_few_shot_repair_non1337_output_recal_n10_seed2024,experiments/EXP-080_few_shot_repair_non1337_output_recal_n10_seed2024,2026-03-16T22:13:38Z,output_recal,10,10,10,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.2832201196366117,-0.3902201196366117,0.0817052682835106,39.34745923275842,-0.5456428227414275,,0.0519043174085294,complete,,"Few-shot strategy=output_recal, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,81,EXP-081_few_shot_repair_non1337_output_recal_n10_seed2025,experiments/EXP-081_few_shot_repair_non1337_output_recal_n10_seed2025,2026-03-16T22:15:42Z,output_recal,10,10,10,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.0603780082619662,-0.1673780082619662,0.0864045958778176,43.98366019628639,-1.0131606992671132,,0.0195996776932128,complete,,"Few-shot strategy=output_recal, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,9,EXP-009_few_shot_main_output_recal_n25_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-009_few_shot_main_output_recal_n25_seed1337,,output_recal,25,25,25,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,25,2430,50,True,False,False,0.1219001721617016,0.0149001721617016,0.0836984615634404,77.32861842699927,1.133453669623106,-0.0188742605905376,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,82,EXP-082_few_shot_repair_non1337_output_recal_n25_seed2024,experiments/EXP-082_few_shot_repair_non1337_output_recal_n25_seed2024,2026-03-16T22:17:43Z,output_recal,25,25,25,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,-0.0640899904949929,-0.1710899904949929,0.0913885366844554,50.32945306655354,-0.8280411191565221,,0.0050203460270463,complete,,"Few-shot strategy=output_recal, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,83,EXP-083_few_shot_repair_non1337_output_recal_n25_seed2025,experiments/EXP-083_few_shot_repair_non1337_output_recal_n25_seed2025,2026-03-16T22:19:45Z,output_recal,25,25,25,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,-0.0428652147164561,-0.14986521471645609,0.0881207155054304,48.84269360575957,-1.6537702882147116,,0.0170882649780608,complete,,"Few-shot strategy=output_recal, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,12,EXP-012_few_shot_main_output_recal_n50_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-012_few_shot_main_output_recal_n50_seed1337,,output_recal,50,50,50,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,50,2405,50,True,False,False,0.0954510075839416,-0.011548992416058404,0.0859711821157349,82.16947147043321,0.7040051530336763,0.0299086354835683,,complete,,
