exp_number,task_id,job_id,job_state,job_exit_code,job_elapsed,run_id,strategy,n_target_labels,seed,config_path,experiment_dir,experiment_dir_exists,experiment_dir_populated,metrics_path,metrics_json_exists,metrics_parse_ok,status,status_reason,source_overlap_n,target_overlap_n,source_after_label_n,target_after_label_n,target_calibration_n,target_eval_n,source_train_n,source_test_n,actual_cal_n,actual_eval_n,target_r2,target_mae_log,target_smape,target_slope,target_intercept,target_r2_ci_lower,target_r2_ci_upper,target_r2_ci_mean,source_test_r2,log_out_path,log_err_path
5,3,10409707_3,COMPLETED,0:0,00:01:33,EXP-005_few_shot_main_full_target_seed2025,full_target,-1,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025/config/EXP-005_few_shot_main_full_target_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_3.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_3.err
8,6,10409707_6,COMPLETED,0:0,00:01:31,EXP-008_few_shot_main_output_recal_n10_seed2025,output_recal,10,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025/config/EXP-008_few_shot_main_output_recal_n10_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_6.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_6.err
11,9,10409707_9,COMPLETED,0:0,00:01:48,EXP-011_few_shot_main_output_recal_n25_seed2025,output_recal,25,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025/config/EXP-011_few_shot_main_output_recal_n25_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_9.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_9.err
14,12,10409707_12,COMPLETED,0:0,00:03:11,EXP-014_few_shot_main_output_recal_n50_seed2025,output_recal,50,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025/config/EXP-014_few_shot_main_output_recal_n50_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-014_few_shot_main_output_recal_n50_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_12.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_12.err
17,15,10409707_15,COMPLETED,0:0,00:02:13,EXP-017_few_shot_main_output_recal_n100_seed2025,output_recal,100,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025/config/EXP-017_few_shot_main_output_recal_n100_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-017_few_shot_main_output_recal_n100_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_15.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_15.err
20,18,10409707_18,COMPLETED,0:0,00:02:13,EXP-020_few_shot_main_output_recal_n200_seed2025,output_recal,200,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025/config/EXP-020_few_shot_main_output_recal_n200_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-020_few_shot_main_output_recal_n200_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_18.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_18.err
22,20,10409707_20,FAILED,1:0,00:02:25,EXP-022_few_shot_main_output_recal_n500_seed2024,output_recal,500,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024/config/EXP-022_few_shot_main_output_recal_n500_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-022_few_shot_main_output_recal_n500_seed2024/results/metrics.json,False,False,missing_metrics,"ValueError: Found array with 0 sample(s) (shape=(0, 5)) while a minimum of 1 is required by SimpleImputer.",3368,261,3368,260,260,0,2694,674,,,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_20.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_20.err
23,21,10409707_21,COMPLETED,0:0,00:02:25,EXP-023_few_shot_main_output_recal_n500_seed2025,output_recal,500,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-023_few_shot_main_output_recal_n500_seed2025/config/EXP-023_few_shot_main_output_recal_n500_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-023_few_shot_main_output_recal_n500_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-023_few_shot_main_output_recal_n500_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_21.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_21.err
26,24,10409707_24,COMPLETED,0:0,00:03:20,EXP-026_few_shot_main_fine_tune_n10_seed2025,fine_tune,10,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-026_few_shot_main_fine_tune_n10_seed2025/config/EXP-026_few_shot_main_fine_tune_n10_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-026_few_shot_main_fine_tune_n10_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-026_few_shot_main_fine_tune_n10_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_24.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_24.err
29,27,10409707_27,COMPLETED,0:0,00:03:27,EXP-029_few_shot_main_fine_tune_n25_seed2025,fine_tune,25,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-029_few_shot_main_fine_tune_n25_seed2025/config/EXP-029_few_shot_main_fine_tune_n25_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-029_few_shot_main_fine_tune_n25_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-029_few_shot_main_fine_tune_n25_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_27.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_27.err
