exp_number,task_id,job_id,job_state,job_exit_code,job_elapsed,run_id,strategy,n_target_labels,seed,config_path,experiment_dir,experiment_dir_exists,experiment_dir_populated,metrics_path,metrics_json_exists,metrics_parse_ok,status,status_reason,source_overlap_n,target_overlap_n,source_after_label_n,target_after_label_n,target_calibration_n,target_eval_n,source_train_n,source_test_n,actual_cal_n,actual_eval_n,target_r2,target_mae_log,target_smape,target_slope,target_intercept,target_r2_ci_lower,target_r2_ci_upper,target_r2_ci_mean,source_test_r2,log_out_path,log_err_path
3,1,10409707_1,COMPLETED,0:0,00:02:35,EXP-003_few_shot_main_full_target_seed1337,full_target,-1,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-003_few_shot_main_full_target_seed1337/config/EXP-003_few_shot_main_full_target_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-003_few_shot_main_full_target_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-003_few_shot_main_full_target_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,1964,491,5596,1399,1964,491,0.13700205487385875,0.08226152151455429,75.67450998537252,0.9697989562871218,-0.0014785421514078522,0.0751016495614562,0.18398958829139578,0.13116544728623045,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_1.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_1.err
4,2,10409707_2,COMPLETED,0:0,00:01:38,EXP-004_few_shot_main_full_target_seed2024,full_target,-1,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-004_few_shot_main_full_target_seed2024/config/EXP-004_few_shot_main_full_target_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-004_few_shot_main_full_target_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-004_few_shot_main_full_target_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,208,52,2694,674,208,52,0.12047801267854419,0.10833746162113013,59.711596964791354,1.0342506882495326,-0.01198201112049028,-0.07976844742808953,0.25216937994623273,0.10164546351260124,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_2.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_2.err
5,3,10409707_3,COMPLETED,0:0,00:01:33,EXP-005_few_shot_main_full_target_seed2025,full_target,-1,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025/config/EXP-005_few_shot_main_full_target_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-005_few_shot_main_full_target_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_3.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_3.err
6,4,10409707_4,COMPLETED,0:0,00:01:41,EXP-006_few_shot_main_output_recal_n10_seed1337,output_recal,10,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-006_few_shot_main_output_recal_n10_seed1337/config/EXP-006_few_shot_main_output_recal_n10_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-006_few_shot_main_output_recal_n10_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-006_few_shot_main_output_recal_n10_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,10,2445,5596,1399,10,2445,0.014474350918011525,0.07477794081727479,58.99629871858907,1.6688691636162505,-0.02200642522377744,-0.007543358469653748,0.0391668729219759,0.015356592246125114,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_4.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_4.err
7,5,10409707_5,COMPLETED,0:0,00:01:35,EXP-007_few_shot_main_output_recal_n10_seed2024,output_recal,10,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-007_few_shot_main_output_recal_n10_seed2024/config/EXP-007_few_shot_main_output_recal_n10_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-007_few_shot_main_output_recal_n10_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-007_few_shot_main_output_recal_n10_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,10,250,2694,674,10,250,0.049531569725545066,0.11212465345782706,64.67762446945787,1.6936887313738074,-0.100772230055787,-0.023797509373577552,0.09678859446003954,0.04415741718296827,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_5.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_5.err
8,6,10409707_6,COMPLETED,0:0,00:01:31,EXP-008_few_shot_main_output_recal_n10_seed2025,output_recal,10,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025/config/EXP-008_few_shot_main_output_recal_n10_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-008_few_shot_main_output_recal_n10_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_6.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_6.err
9,7,10409707_7,COMPLETED,0:0,00:01:47,EXP-009_few_shot_main_output_recal_n25_seed1337,output_recal,25,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-009_few_shot_main_output_recal_n25_seed1337/config/EXP-009_few_shot_main_output_recal_n25_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-009_few_shot_main_output_recal_n25_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-009_few_shot_main_output_recal_n25_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,25,2430,5596,1399,25,2430,0.12190017216170168,0.08369846156344042,77.32861842699927,1.1334536696231061,-0.01887426059053769,0.09980830392307197,0.14137314743056487,0.12139794789861978,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_7.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_7.err
10,8,10409707_8,COMPLETED,0:0,00:01:48,EXP-010_few_shot_main_output_recal_n25_seed2024,output_recal,25,2024,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-010_few_shot_main_output_recal_n25_seed2024/config/EXP-010_few_shot_main_output_recal_n25_seed2024.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-010_few_shot_main_output_recal_n25_seed2024,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-010_few_shot_main_output_recal_n25_seed2024/results/metrics.json,True,True,complete,,3368,261,3368,260,25,235,2694,674,25,235,0.043392720249591066,0.11589371556438789,74.22029268684153,3.049591322481814,-0.36086785733476845,-0.009729644122696909,0.07238213539625528,0.03885075502143051,0.23976142641769327,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_8.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_8.err
11,9,10409707_9,COMPLETED,0:0,00:01:48,EXP-011_few_shot_main_output_recal_n25_seed2025,output_recal,25,2025,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025/config/EXP-011_few_shot_main_output_recal_n25_seed2025.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-011_few_shot_main_output_recal_n25_seed2025/results/metrics.json,True,True,null_metrics,no data after filters; metrics not computed,0,191,0,191,0,191,0,0,0,191,,,,,,,,,,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_9.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_9.err
12,10,10409707_10,COMPLETED,0:0,00:02:01,EXP-012_few_shot_main_output_recal_n50_seed1337,output_recal,50,1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-012_few_shot_main_output_recal_n50_seed1337/config/EXP-012_few_shot_main_output_recal_n50_seed1337.json,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-012_few_shot_main_output_recal_n50_seed1337,True,True,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-012_few_shot_main_output_recal_n50_seed1337/results/metrics.json,True,True,complete,,6995,2459,6995,2455,50,2405,5596,1399,50,2405,0.09545100758394165,0.08597118211573497,82.16947147043321,0.7040051530336763,0.029908635483568344,0.056973873815587925,0.13239066179682166,0.09441399161324547,0.20910587917217016,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_10.out,/home/jmckerra/Code/FRESCO-v4/experiments/sweep_logs/exp003_main_10409707_10.err
